; BALFIT Input File for 3x3 Tunnel Calibration
; I am a fish
; I am a shoe
;; DATA ORIGIN = 3x3 Tunnel

; header variables
FILE_TYPE,DATA_FOR_ITERATIVE_REGRESSION_ANALYSIS
BALANCE_NAME,StudentTunnel
DESCRIPTION,Data2017

; load and gage output symbols
,,,,N1,N2,S1,S2,RM,AF,rN1,rN2,rS1,rS2,rRM,rAF
,P-0020,3,A,0.0,23.983440294895722,0.0,0.0,0.0,0.0,-0.7177275107927309,-1.8955920373109998,-0.6809383871295,0.4674291289463076,1.366457044947923,1.6822582952123075
,P-0021,3,A,0.0,0.048528302085810715,0.0,0.0,0.0,0.0,-0.711774002228,-1.0249774444774444,-0.7259752708303333,0.46757882666888895,1.204581424651,1.5162371903857779
,P-0022,4,A,0.0,0.0,0.0,0.0,0.0,0.0,-0.704967558101122,-0.9898019668701951,-0.7276688628642438,0.46708264394224397,1.2139686517666828,1.5103733222587317
,P-0023,4,A,0.0,0.0,0.0,0.0,0.026836888999936526,0.0,-0.7067476847060816,-0.9907015807190206,-0.7262046332404898,0.46731231680032653,1.213786022016857,1.515161616768
,P-0024,4,A,0.0,0.0,0.0,0.0,10.823910902920437,0.0,-0.5181950386492363,-0.7884022739680364,-0.7373833635593454,0.46775148027752733,1.1827018018944,1.4235528771386183
,P-0025,4,A,0.0,0.0,0.0,0.0,20.906039737259757,0.0,-0.3412201086485455,-0.6011693322596364,-0.753316167830909,0.4633692756901818,1.1634036725880001,1.339532746397091
,P-0026,4,A,0.0,0.0,0.0,0.0,30.379655910109012,0.0,-0.1749345686172857,-0.4258139860987143,-0.7741502841762856,0.4569442423931429,1.1540516155740002,1.267130432352
,P-0027,4,A,0.0,0.0,0.0,0.0,21.244429820862578,0.0,-0.3320378003110909,-0.5976817125976364,-0.7607717808280908,0.4601596626092727,1.170987339294,1.3394030591127275
,P-0028,4,A,0.0,0.0,0.0,0.0,11.245530042784159,0.0,-0.5057069630856429,-0.7823614805989285,-0.7455539568805712,0.463558944282,1.189634486535,1.4142438518400002
,P-0029,5,A,0.0,0.0,0.0,0.0,0.0,0.0,-0.7081098849501081,-0.9604376943035675,-0.7800393366353512,0.46022587153621625,1.2077981548433514,1.4951398818058381
,P-0030,5,A,0.0,0.0,25.159964380275145,0.0,0.0,0.0,-0.7101637639856471,-0.9710109966517059,-1.6206488256568234,0.40298677173317654,1.227146628393529,1.5328898211444704
,P-0031,5,A,0.0,0.0,53.37737432755704,0.0,0.0,0.0,-0.7170209508798001,-0.97790258675244,-2.5809271838984396,0.34649926427808,1.26468924077628,1.5908426037158403
,P-0032,5,A,0.0,0.0,99.24151448981186,0.0,0.0,0.0,-0.7288984005125374,-0.9923008641269553,-4.153822607455163,0.266954215734806,1.3676823542028356,1.7259889760496716
,P-0033,5,A,0.0,0.0,49.73282275379483,0.0,0.0,0.0,-0.7159630680669321,-0.9770436359930097,-2.46304881440598,0.3549168228827185,1.2683776865971457,1.592897182223534
,P-0034,5,A,0.0,0.0,23.959826025498522,0.0,0.0,0.0,-0.7100073537476786,-0.9702055985776071,-1.587784520388857,0.4057765414671428,1.232083809099,1.5384039823680002
,P-0035,5,A,0.0,0.0,0.06594394835875961,0.0,0.0,0.0,-0.7072684605368437,-0.9608293055536876,-0.7786969161404061,0.46023729127612506,1.2100985194289062,1.499190990543
,P-0036,6,A,0.0,0.0,0.0,0.0,0.0,0.0,-0.7079688990430244,-0.9617420622016097,-0.7315680196576096,0.425609402406439,1.198963709822195,1.5025514617240976
,P-0037,6,A,0.0,0.0,0.0,24.76328576280422,0.0,0.0,-0.7345849869165,-0.9831134358548332,-0.7621843724299999,-0.472606348324,1.0255639602945,1.673789931434667
,P-0038,6,A,0.0,0.0,0.0,51.26943942562039,0.0,0.0,-0.7606542494858276,-1.0037024095387241,-0.7970909858783793,-1.4328773684362759,0.8661695728915862,1.891641845309793
,P-0039,6,A,0.0,0.0,0.0,99.55180011169,0.0,0.0,-0.8059411599444,-1.0342919002406767,-0.8822279587751999,-3.154512597096739,0.712991490098123,2.424798954266585
,P-0040,6,A,0.0,0.0,0.0,49.57694864085998,0.0,0.0,-0.757888168378909,-0.9993707090775681,-0.7985771365375227,-1.3847222500843637,0.9001573459492499,1.9086303509869094
,P-0041,6,A,0.0,0.0,0.0,25.07193368278879,0.0,0.0,-0.7358187497625763,-0.9813417288771864,-0.7634074346895253,-0.49912221596216955,1.0307370415252881,1.6900075183566103
,P-0042,6,A,0.0,0.0,0.0,0.06624979115524665,0.0,0.0,-0.70774087362792,-0.96298248392744,-0.731971281626,0.41240212896896006,1.1976227638927202,1.5043065427993598
,P-0043,7,A,0.0,0.0,0.0,0.0,0.0,0.0,-0.7918223960831999,-1.0073925310511997,-0.72817677478,0.4658471275061333,0.0226662973812,0.011325958758400003
,P-0044,7,A,0.0,0.0,0.0,0.0,0.0,-10.08531538015873,-0.7874932426632001,-0.9912070867024001,-0.7283575961739998,0.4700897070368001,0.0279352373652,0.011350501408000004
,P-0045,7,A,0.0,0.0,0.0,0.0,0.0,-20.534552749297053,-0.7830126493631999,-0.9747450546808,-0.7250433202670666,0.4693803837584001,0.032934687112799996,0.011354284992000002
,P-0046,7,A,0.0,0.0,0.0,0.0,0.0,-30.422646095823538,-0.7763589609954545,-0.9599550092596364,-0.7245513630093818,0.4722470408565818,0.0421298978256,0.011343550121890913
,P-0047,7,A,0.0,0.0,0.0,0.0,0.0,-20.203074537857145,-0.783036194091,-0.9746518139084,-0.7279388751127999,0.47230966393760004,0.0349677298476,0.011295433875200002
,P-0048,7,A,0.0,0.0,0.0,0.0,0.0,-10.184659075791384,-0.78784196339412,-0.99092255395752,-0.73007521221648,0.47133390601296005,0.03018949714836,0.011355071500800003
,P-0049,7,A,0.0,0.0,0.0,0.0,0.0,-0.16598813489040076,-0.7926260092227999,-1.0075760368689335,-0.7281349149949332,0.4660057841328,0.022274301469199998,0.011331404736000002
,P-0050,8,A,0.0,-0.0,0.0,0.0,0.0,0.0,-0.7065690105370346,-0.9783055325287241,-0.7242947497378965,0.4634497151913104,1.206491436311586,1.491843063379862
,P-0051,8,A,0.0,-27.961889585995127,0.0,0.0,0.0,0.0,-0.7444061153355601,0.07458013553544,-0.7691298682376398,0.4663919903256,1.1882316555291599,1.47979989861888
,P-0052,8,A,0.0,-51.038382714483696,0.0,0.0,0.0,0.0,-0.7685111964342353,0.9239616532591765,-0.8093574621171765,0.4738843656409412,1.1873377271075294,1.4814013222249414
,P-0053,8,A,0.0,-104.82336016815597,0.0,0.0,0.0,0.0,-0.8036685151601707,2.8766277802712197,-0.8954032544901219,0.4949002262423415,1.142269700140317,1.436434395116488
,P-0054,8,A,0.0,-52.64567432990956,0.0,0.0,0.0,0.0,-0.7679880636141355,0.9858696238130847,-0.8082378051685423,0.47810758679511867,1.166606905302915,1.4584585065892883
,P-0055,8,A,0.0,-27.3013173698964,0.0,0.0,0.0,0.0,-0.7421586170503562,0.06030956487624658,-0.7682842803853972,0.4721102706049316,1.1851745617013423,1.4744224235520003
,P-0056,8,A,0.0,-0.0,0.0,0.0,0.0,0.0,-0.7073988237470572,-0.9591003611799428,-0.7238162231296286,0.46396442387005715,1.2038225515865997,1.4905400240832003
,P-0057,9,A,0.0,0.0,0.0,0.0,-0.0,0.0,-0.707073622362,-0.9923056107149334,-0.7248134094118666,0.46697730313386665,1.2151142699124,1.5238112635093333
,P-0058,9,A,0.0,0.0,0.0,0.0,-10.160999739939472,0.0,-0.5265615990537001,-0.8158740030410999,-0.7085611918592999,0.45933770540880003,1.3305435640695,1.5477439199232002
,P-0059,9,A,0.0,0.0,0.0,0.0,-19.707512715498506,0.0,-0.3579451340468936,-0.6491462297087234,-0.6871578605895319,0.4563837806190639,1.4489365713675317,1.5787376790005108
,P-0060,9,A,0.0,0.0,0.0,0.0,-30.04451227321465,0.0,-0.1743173808375,-0.4712464907723333,-0.6621615894941667,0.45531670769000004,1.5703419974055,1.6065127283786667
,P-0061,9,A,0.0,0.0,0.0,0.0,-20.744123782749075,0.0,-0.3389722356684,-0.6286325860726667,-0.6810402363041334,0.4584074053397334,1.454021486676,1.5752247757312001
,P-0062,9,A,0.0,0.0,0.0,0.0,-10.586266300036616,0.0,-0.5182189069016667,-0.8040326828558889,-0.7021875729064445,0.4624689937884445,1.3327554792749998,1.5470139483946668
,P-0063,9,A,0.0,0.0,0.0,0.0,0.14715353445553725,0.0,-0.7080514917273001,-0.9925283184591002,-0.7244444703742999,0.468418486482,1.2127280742621,1.5188779327424
,P-0064,10,A,0.0,0.0,-0.0,0.0,0.0,0.0,-0.6915303119884866,-0.9555257554924864,-0.6837789633690811,0.4282141909835676,1.014450318411081,1.6982777997197838
,P-0065,10,A,0.0,0.0,-22.82850655669558,0.0,0.0,0.0,-0.6827623287381293,-0.9253716828961936,0.07363960975296774,0.45805556213341936,1.0818527648429033,1.7576174353981937
,P-0066,10,A,0.0,0.0,-50.779882792755,0.0,0.0,0.0,-0.6699235021376727,-0.8952076191931636,1.0021675600290545,0.4917035374909091,1.1784116561184,1.845568776192
,P-0067,10,A,0.0,0.0,-105.83388061651874,0.0,0.0,0.0,-0.6477287033318824,-0.8423119817975294,2.850942753493059,0.5446949669322353,1.4269278309601765,2.090289317455059
,P-0068,10,A,0.0,0.0,-54.21787724976539,0.0,0.0,0.0,-0.6696565832827385,-0.891727414775077,1.1286971759531998,0.4977175381728,1.2062936534402768,1.8711785449816616
,P-0069,10,A,0.0,0.0,-25.504646865873045,0.0,0.0,0.0,-0.6818920619850001,-0.9249836475227999,0.17297520818369996,0.46284847205940005,1.09890125361225,1.7707404317424003
,P-0070,10,A,0.0,0.0,-0.011434092199681833,0.0,0.0,0.0,-0.6904904316801429,-0.9556907355911143,-0.6732432080288571,0.42989061937885714,1.0181262679632,1.6970937490944
,P-0071,11,A,0.0,0.0,0.0,-0.0,0.0,0.0,-0.6881397286546046,-0.9588204934613024,-0.7068090804676744,0.46192954677934883,1.014418103688,1.6801510518385119
,P-0072,11,A,0.0,0.0,0.0,-23.856975792885457,0.0,0.0,-0.6564640649113637,-0.9365439492514092,-0.6697613904309545,1.2949090623070911,1.2634224313229998,1.6135606443883639
,P-0073,11,A,0.0,0.0,0.0,-51.99850367523014,0.0,0.0,-0.6152591398543549,-0.9150634559222902,-0.6247648131961936,2.278427693902065,1.5808532881743873,1.5726196588830967
,P-0074,11,A,0.0,0.0,0.0,-98.93912631650866,0.0,0.0,-0.5453683500642859,-0.882400670539857,-0.5356287437475,3.8932726503808577,2.1992204559599995,1.6278591226880004
,P-0075,11,A,0.0,0.0,0.0,-51.953013345236265,0.0,0.0,-0.616105762036875,-0.9138451594399999,-0.621678507009625,2.2881338649980005,1.600362915525,1.59462069422
,P-0076,11,A,0.0,0.0,0.0,-26.2578836286646,0.0,0.0,-0.6550211439722904,-0.9331734958061612,-0.6670967712202258,1.3940893090169038,1.293550922536258,1.619079866756129
,P-0077,11,A,0.0,0.0,0.0,0.14383499271886602,0.0,0.0,-0.6889366192136898,-0.9574346883009309,-0.7067592220824827,0.4672731634680001,1.010983017941069,1.6860543869528277
,P-0078,12,A,0.0,0.0,0.0,0.0,0.0,0.0,-0.7533843729066,-1.0168452806763,0.44162914560179994,-0.7134681969144001,0.0285661835118,-0.9089706753600001
,P-0079,12,A,49.64526569281998,0.0,0.0,0.0,0.0,0.0,0.19935966748679998,-0.1759418463276,0.41995123595879996,-0.6946958971608,0.48595413360780004,-0.18901119133440003
,P-0080,12,A,98.70486840722204,0.0,0.0,0.0,0.0,0.0,1.1151518763354,0.6752682898692,0.3995579690179999,-0.6717568730304001,0.8596924287533999,0.4204860930560001
,P-0081,12,A,53.69128837901955,0.0,0.0,0.0,0.0,0.0,0.2827446356556,-0.10130757518130001,0.41764027236749995,-0.6942878476164001,0.5299550688168,-0.12344737982399999
,P-0082,12,A,-0.12501947245428724,0.0,0.0,0.0,0.0,0.0,-0.7547419121868001,-1.0181717179689,0.44132636366519995,-0.7145650854480002,0.0298927724139,-0.9106804471776001
,P-0083,13,A,0.0,-0.0,0.0,0.0,0.0,0.0,-0.7422518156697001,-1.0632603953433,0.4419379504468499,-0.7145383602012,0.024686863274700002,0.011476676486400002
,P-0084,13,A,29.917119849955117,-26.394920984528685,0.0,0.0,0.0,0.0,0.24845859197135997,-2.19557963032116,0.43089553042068,-0.6752350069833601,0.30048043267836,0.011505598560000004
,P-0085,13,A,55.262602443935634,-51.09203673407945,0.0,0.0,0.0,0.0,1.1611002875899503,-3.14480793126,0.4212962001533999,-0.6400229850498002,0.50490196632315,0.011496946963200003
,P-0086,13,A,28.511264606039603,-24.733357041515603,0.0,0.0,0.0,0.0,0.1915208382069,-2.14559108271795,0.4298366127938999,-0.6746307669462001,0.28350361339740004,0.011561114462400003
,P-0087,13,A,-0.32208932889527153,0.05428382235182849,0.0,0.0,0.0,0.0,-0.7441178709879,-1.0537820262575999,0.44333384778929996,-0.7156303489572001,0.0180606414186,0.011508556905600003
,P-0088,14,A,-0.0,0.0,0.0,0.0,0.0,0.0,-0.7852138995654001,-1.0074270002208,0.4424031124395999,-0.7140659340168001,-0.014641985061,0.011482765971200003
,P-0089,14,A,-29.74636474530413,26.246551308966477,0.0,0.0,0.0,0.0,-1.92137699634705,0.006227580921900002,0.4749205462559999,-0.7064506111530002,-0.5643662310396,0.011508945691200005
,P-0090,14,A,-53.31181617292396,50.07711761961434,0.0,0.0,0.0,0.0,-2.80030732238115,0.89805650927685,0.5030268129529499,-0.6982935946284001,-0.9754590328362001,0.011505098054400004
,P-0091,14,A,-28.12726924256246,24.74331113427385,0.0,0.0,0.0,0.0,-1.8562345706239196,-0.054099002756639994,0.47277341471723994,-0.7079526567528001,-0.56268173052036,0.011499692593920002
,P-0092,14,A,-0.028061530659554634,0.020952466451239715,0.0,0.0,0.0,0.0,-0.7892439353735999,-1.0005044360334,0.44232504266859995,-0.7146881163600001,-0.023919695118000003,0.011572350515200005
,P-0093,15,A,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.7904406025734,-1.0569537798414,0.4387329061426999,-0.7135839794936001,0.0401357376387,0.011391313468800002
,P-0094,15,A,-27.345181297572566,-23.785583915254573,0.0,0.0,0.0,0.0,-1.84670657645085,-1.8599612674224,0.4920550992785999,-0.6855489109722,1.1785243052781003,0.011430321624000003
,P-0095,15,A,-51.26673170589914,-49.191114090282156,0.0,0.0,0.0,0.0,-2.75423539371975,-2.7462702791796,0.5278250765502001,-0.6631365369336001,1.88510068487565,0.011470674888000002
,P-0096,15,A,-27.919291761829264,-23.366856809636403,0.0,0.0,0.0,0.0,-1.8677566616394,-1.8463447535504,0.4796973013846,-0.6808628653072001,1.062935864595,0.011417992204800003
,P-0097,15,A,-0.34687438737101206,0.4744588863808319,0.0,0.0,0.0,0.0,-0.8034658834528801,-1.04309616890736,0.43961134696751997,-0.7137949298212801,0.04540932567072,0.011497712021760004
,P-0098,16,A,0.0,0.0,0.0,0.0,0.0,0.0,-0.7431818562665999,-1.0307687870799,0.44042184533099993,-0.7141856388024002,0.021208461763499997,-0.8887424912832
,P-0099,16,A,24.15683118860341,0.0,0.0,0.0,14.542419504623437,0.0,-0.0676254991401,-1.3512604353516,0.44717496994949996,-0.6932063468880001,1.7869735180341,1.3228219496544003
,P-0100,16,A,51.37610510080391,0.0,0.0,0.0,30.687183495255404,0.0,0.6761394216738,-1.7005702402544998,0.4674815076047999,-0.6764634760044,3.6049731788268,3.6038038181567997
,P-0101,16,A,26.665595315219107,0.0,0.0,0.0,15.573913547290877,0.0,0.015237958375800003,-1.37693553291,0.45112772383379995,-0.6934509602376,1.8763865469162002,1.4428003188672
,P-0102,16,A,-0.01755669435687235,0.0,0.0,0.0,0.05897035290297564,0.0,-0.7455463216938001,-1.0342443270380999,0.44149049798099993,-0.7139804919096,0.0382024828152,-0.8722785293856
,P-0103,17,A,0.0,0.0,0.0,0.0,-0.0,0.0,-0.7628274245106,-1.0392244605519,0.44229715634909994,-0.7135138775052001,-0.0517550453145,-0.968497370448
,P-0104,17,A,24.32152817035782,0.0,0.0,0.0,-15.090257478065327,0.0,-0.0823343747274,-1.3598561666423998,0.39419652823979995,-0.7561017519312001,-2.5423843673646003,-3.8117827658880006
,P-0105,17,A,48.76976939403372,0.0,0.0,0.0,-31.127062909222644,0.0,0.5649486695523,-1.6965365339532,0.3377906894427,-0.7984825034591999,-5.0112310197213,-6.648952697904001
,P-0106,17,A,24.65892014698928,0.0,0.0,0.0,-14.513627486609478,0.0,-0.055507900011299995,-1.3504801591908,0.3915400992048,-0.7517589037968,-2.4285382622919003,-3.6835005618912002
,P-0107,17,A,0.20909759032156328,0.0,0.0,0.0,0.04100185358146746,0.0,-0.7482432632418,-1.0393482134523002,0.44234429332079994,-0.7135251970644001,-0.0473772384657,-0.9674478459552002
,P-0108,18,A,0.0,0.0,0.0,0.0,0.0,0.0,-0.7709742878724001,-1.012676504574,0.44016789053639993,-0.7113847721376001,0.0080518069368,-0.9076479284352001
,P-0109,18,A,0.0,28.86011048723203,0.0,0.0,14.783870247722204,0.0,-1.0550798909316,-0.2201858949603,0.43244927625509993,-0.6635821574004,1.5256331174205,0.8554302112800001
,P-0110,18,A,0.0,51.63383819116488,0.0,0.0,30.12084002704275,0.0,-1.3382437018977,0.3277283016189,0.4225904145254999,-0.605380962828,3.044978534664,2.6178660235584004
,P-0111,18,A,0.0,23.496468034126735,0.0,0.0,16.440539075138123,0.0,-1.0870662830724,-0.43421631272460004,0.42997314099479994,-0.6619920812160001,1.8349910157545999,1.2224649372288
,P-0112,18,A,0.0,0.17878972556746553,0.0,0.0,-0.00031658956576521846,0.0,-0.7707811930821,-1.0031700130797,0.43741264466639995,-0.7114572495048,0.014181356940299998,-0.8995702238688
,P-0113,19,A,0.0,0.0,0.0,0.0,-0.0,0.0,-0.7710576394284001,-1.0147450480704001,0.4401474475241999,-0.7106897190144001,-0.0538818625224,-0.9784727598720001
,P-0114,19,A,0.0,23.665593170948934,0.0,0.0,-14.368138141029368,0.0,-1.0422271704294,-0.387574270065,0.41304106858559986,-0.757679998908,-2.5797615033762,-4.0237809754944
,P-0115,19,A,0.0,53.22348762310844,0.0,0.0,-30.59317930198217,0.0,-1.3341855364299,0.40309908309239995,0.39372749256749995,-0.8204817180576,-5.1585806977353,-7.1503681366464
,P-0116,19,A,0.0,22.54012837570933,0.0,0.0,-14.315899200600947,0.0,-1.0434522594365998,-0.4194075136134,0.4146702854423999,-0.7604393247576,-2.520448417575,-3.9557522543424004
,P-0117,19,A,0.0,-0.10034490100882687,0.0,0.0,0.002152245386255719,0.0,-0.7719932695877999,-1.0136920131513,0.4400354938628999,-0.7116283214844,-0.0530589631374,-0.9781904032128
,P-0118,20,A,-0.0,0.0,0.0,0.0,0.0,0.0,-0.7867327133745,-1.0360996461821999,0.4344046244381999,-0.7118281215396001,0.0771307282944,-0.8154358045152
,P-0119,20,A,-27.191326932724156,0.0,0.0,0.0,16.38942825151206,0.0,-2.1411238357116,-1.2550398735605999,0.4670781024077999,-0.6976445976264001,3.0029238257832005,2.4334354478976
,P-0120,20,A,-57.601417356607186,0.0,0.0,0.0,27.33772702499273,0.0,-3.4960023768420005,-1.3915627252656,0.4974973582175999,-0.6974471759304001,4.976310875679001,4.5445442589312
,P-0121,20,A,-28.478119723260303,0.0,0.0,0.0,10.881055106353593,0.0,-2.0823723109494003,-1.1593016924229,0.4679213990177999,-0.7020689626812001,2.1740388825276,1.4656953129696
,P-0122,20,A,-0.49749678888091187,0.0,0.0,0.0,-0.011310001449064577,0.0,-0.8044706667852,-1.0345520913119999,0.4357929070715999,-0.7120101196656001,0.087751163412,-0.8063397498048
,P-0123,21,A,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.8084393277066,-1.0350692897598002,0.43619988934859993,-0.7131814526304001,-0.0239067087138,-0.9382242266688
,P-0124,21,A,-27.21109592382273,0.0,0.0,0.0,-17.34605735292236,0.0,-2.1466948498073997,-1.2889482308438998,0.4630089324548999,-0.7719598642512,-2.1036530884248004,-3.6487255221792
,P-0125,21,A,-51.91688359782761,0.0,0.0,0.0,-30.21369550820975,0.0,-3.2951296164186004,-1.4820567386928,0.5357866371623999,-0.8079052586087999,-3.2836918971582,-5.2656606027456
,P-0126,21,A,-29.248729094415737,0.0,0.0,0.0,-12.826744336720944,0.0,-2.1435658306064997,-1.2034161866793,0.49071633237509993,-0.756108270066,-1.2787679546829,-2.6694941004288
,P-0127,21,A,0.0773615288542413,0.0,0.0,0.0,-0.033959560414849266,0.0,-0.8054230209156,-1.0378149343248002,0.43929633499439996,-0.7131243898920001,-0.037353054519,-0.9561544286592
,P-0128,22,A,0.0,-0.0,0.0,0.0,0.0,0.0,-0.7686401223456001,-1.0607782486289998,0.43999652455719995,-0.7155930015648,0.045021638296800004,-0.9040225578304001
,P-0129,22,A,0.0,-26.555782439732187,0.0,0.0,15.062685015185293,0.0,-1.0691862510319199,-2.27996948992236,0.43793519882111986,-0.6639159520670401,2.2614717267370796,1.6829742659980802
,P-0130,22,A,0.0,-52.458082665841054,0.0,0.0,27.61542275685762,0.0,-1.3177112295738,-3.4339707842947997,0.4301471718985999,-0.6507720494936001,3.7815091178832003,3.4550748372416002
,P-0131,22,A,0.0,-29.06688976571919,0.0,0.0,17.40635226087687,0.0,-1.1218109007244497,-2.40683164976415,0.43231818521579995,-0.6733113766506001,2.51412136313085,1.9862351332512
,P-0132,22,A,0.0,0.43500761444250724,0.0,0.0,0.047059787575522566,0.0,-0.770480277867,-1.04751792958485,0.43919512598714994,-0.7160422342764,0.0666759368781,-0.8737605890304001
,P-0133,23,A,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.7769738827907999,-1.065721034583,0.43943094945749994,-0.7138044217992001,-0.0402480512082,-0.9541616566752
,P-0134,23,A,0.0,-28.072902747093284,0.0,0.0,-18.104923481496552,0.0,-1.1112502541076001,-2.4001787379978,0.40480700601899994,-0.7186974577344001,-2.6629535827620003,-4.1273414829504
,P-0135,23,A,0.0,-51.14053318210548,0.0,0.0,-31.884612022312687,0.0,-1.3605875442414002,-3.4837484069802,0.3825441364835999,-0.7081054260960001,-4.5720438250212,-6.446480352192
,P-0136,23,A,0.0,-27.678377915817897,0.0,0.0,-15.368533852970824,0.0,-1.0648218633948,-2.3350198860342,0.40832222042039995,-0.7088093131248,-2.2726531822103997,-3.6617246804351997
,P-0137,23,A,0.0,0.5074619374705098,0.0,0.0,0.05783898421052627,0.0,-0.775301879196,-1.0474590432636,0.4394147184569999,-0.7131533951448,-0.0267086967642,-0.9407784139968001
,P-0138,24,A,0.0,0.0,0.0,0.0,0.0,0.0,-0.7460697819861,-1.0312266209646,0.4475212581215999,-0.6837103811928001,0.031225574407499998,-0.9063216243456
